# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  3.67100e+06
# Free Parameters:           24
# Data Points    :        12798
#   F2(ppm)     F1(ppm)        Data        Calc 
 8.1794e+00  1.2296e+02  3.5188e+05 -5.0911e+03 
 8.1833e+00  1.2296e+02  4.1306e+05 -1.7248e+03 
 8.1872e+00  1.2296e+02  4.4139e+05 -4.9793e+02 
 8.1911e+00  1.2296e+02  4.4743e+05 -1.1395e+02 
 8.1950e+00  1.2296e+02  4.2846e+05 -1.1627e+01 
 8.1989e+00  1.2296e+02  3.8700e+05  1.0538e+01 
 8.2028e+00  1.2296e+02  3.3088e+05  1.3381e+01 
 8.2067e+00  1.2296e+02  2.6365e+05  1.2440e+01 
 8.2106e+00  1.2296e+02  1.8882e+05  1.1059e+01 
 8.2145e+00  1.2296e+02  1.1465e+05  9.8121e+00 
 8.2184e+00  1.2296e+02  5.4669e+04  8.7517e+00 
 8.2223e+00  1.2296e+02  1.5407e+04  7.8515e+00 
  
 8.0780e+00  1.2301e+02  1.5000e+05  1.3338e+00 
 8.0819e+00  1.2301e+02  8.8627e+04  1.4843e+00 
 8.0858e+00  1.2301e+02 -1.3140e+03  1.6613e+00 
 8.0897e+00  1.2301e+02 -8.9690e+04  1.8700e+00 
 8.0936e+00  1.2301e+02 -1.3895e+05  2.1084e+00 
 8.0975e+00  1.2301e+02 -2.1572e+05  2.3203e+00 
 8.1014e+00  1.2301e+02 -7.2483e+04  2.1442e+00 
 8.1053e+00  1.2301e+02  2.3490e+04 -1.9445e-01 
 8.1092e+00  1.2301e+02  9.7104e+04 -1.1989e+01 
 8.1131e+00  1.2301e+02  1.4080e+05 -5.8608e+01 
 8.1170e+00  1.2301e+02  1.4866e+05 -2.1443e+02 
 8.1209e+00  1.2301e+02  7.6729e+04 -6.6122e+02 
 8.1248e+00  1.2301e+02 -1.6479e+04 -1.7614e+03 
 8.1287e+00  1.2301e+02 -7.5385e+04 -4.0808e+03 
 8.1326e+00  1.2301e+02 -8.0842e+04 -8.2386e+03 
 8.1365e+00  1.2301e+02 -6.1605e+04 -1.4505e+04 
 8.1404e+00  1.2301e+02 -2.0928e+04 -2.2276e+04 
 8.1443e+00  1.2301e+02  2.9931e+04 -2.9845e+04 
 8.1482e+00  1.2301e+02  7.1960e+04 -3.4887e+04 
 8.1521e+00  1.2301e+02  7.9189e+04 -3.5584e+04 
 8.1560e+00  1.2301e+02  5.2320e+04 -3.1670e+04 
 8.1599e+00  1.2301e+02 -2.9808e+04 -2.4593e+04 
 8.1638e+00  1.2301e+02 -1.5409e+05 -1.6661e+04 
 8.1677e+00  1.2301e+02 -1.7723e+05 -9.8461e+03 
 8.1716e+00  1.2301e+02  3.0978e+03 -5.0749e+03 
 8.1755e+00  1.2301e+02  1.8742e+05 -2.2801e+03 
 8.1794e+00  1.2301e+02  2.9834e+05 -8.9164e+02 
 8.1833e+00  1.2301e+02  3.6839e+05 -3.0208e+02 
 8.1872e+00  1.2301e+02  4.0758e+05 -8.7206e+01 
 8.1911e+00  1.2301e+02  4.2348e+05 -1.9956e+01 
 8.1950e+00  1.2301e+02  4.1449e+05 -2.0363e+00 
 8.1989e+00  1.2301e+02  3.7682e+05  1.8456e+00 
 8.2028e+00  1.2301e+02  3.2153e+05  2.3434e+00 
 8.2067e+00  1.2301e+02  2.5943e+05  2.1787e+00 
 8.2106e+00  1.2301e+02  1.9841e+05  1.9368e+00 
 8.2145e+00  1.2301e+02  1.3950e+05  1.7184e+00 
 8.2184e+00  1.2301e+02  8.5855e+04  1.5327e+00 
 8.2223e+00  1.2301e+02  4.2367e+04  1.3751e+00 
 8.2262e+00  1.2301e+02  1.0804e+04  1.2403e+00 
  
 8.0741e+00  1.2306e+02  1.9550e+05 -4.1088e+01 
 8.0780e+00  1.2306e+02  1.7093e+05 -4.5485e+01 
 8.0819e+00  1.2306e+02  1.1036e+05 -5.0618e+01 
 8.0858e+00  1.2306e+02  2.9121e+04 -5.6655e+01 
 8.0897e+00  1.2306e+02 -5.7441e+04 -6.3770e+01 
 8.0936e+00  1.2306e+02 -1.6143e+05 -7.1901e+01 
 8.0975e+00  1.2306e+02 -1.5187e+05 -7.9125e+01 
 8.1014e+00  1.2306e+02 -5.1729e+04 -7.3122e+01 
 8.1053e+00  1.2306e+02  3.6099e+04  6.6311e+00 
 8.1092e+00  1.2306e+02  1.2287e+05  4.0885e+02 
 8.1131e+00  1.2306e+02  1.8505e+05  1.9986e+03 
 8.1170e+00  1.2306e+02  2.1870e+05  7.3125e+03 
 8.1209e+00  1.2306e+02  2.1448e+05  2.2549e+04 
 8.1248e+00  1.2306e+02  1.9275e+05  6.0068e+04 
 8.1287e+00  1.2306e+02  1.6075e+05  1.3916e+05 
 8.1326e+00  1.2306e+02  2.2021e+05  2.8095e+05 
 8.1365e+00  1.2306e+02  3.9447e+05  4.9464e+05 
