# ***
# *** The fit converged successfully 
# ***
# X2 of the fit  :  3.06078e+04
# Free Parameters:           23
# Data Points    :        12087
#   F2(ppm)     F1(ppm)        Data        Calc 
 7.3388e+00  1.0826e+02  5.0287e+04  5.2455e+04 
 7.3427e+00  1.0826e+02  3.4552e+04  3.8903e+04 
 7.3467e+00  1.0826e+02  2.3393e+04  2.7941e+04 
 7.3506e+00  1.0826e+02  1.6776e+04  1.9535e+04 
 7.3545e+00  1.0826e+02  1.2982e+04  1.3401e+04 
 7.3584e+00  1.0826e+02  1.0693e+04  9.1227e+03 
 7.3623e+00  1.0826e+02  1.0640e+04  6.2564e+03 
 7.3662e+00  1.0826e+02  1.2292e+04  4.3987e+03 
 7.3701e+00  1.0826e+02  1.4037e+04  3.2218e+03 
 7.3740e+00  1.0826e+02  1.5273e+04  2.4820e+03 
 7.3779e+00  1.0826e+02  1.5856e+04  2.0113e+03 
  
 7.2411e+00  1.0830e+02  1.7624e+04  2.5421e+03 
 7.2450e+00  1.0830e+02  1.4412e+04  2.9617e+03 
 7.2489e+00  1.0830e+02  1.1641e+04  3.5844e+03 
 7.2528e+00  1.0830e+02  9.6856e+03  4.5510e+03 
 7.2568e+00  1.0830e+02  8.9281e+03  6.0850e+03 
 7.2607e+00  1.0830e+02  9.8735e+03  8.5197e+03 
 7.2646e+00  1.0830e+02  1.3091e+04  1.2319e+04 
 7.2685e+00  1.0830e+02  1.9370e+04  1.8075e+04 
 7.2724e+00  1.0830e+02  2.9684e+04  2.6478e+04 
 7.2763e+00  1.0830e+02  4.5065e+04  3.8224e+04 
 7.2802e+00  1.0830e+02  6.6312e+04  5.3875e+04 
 7.2841e+00  1.0830e+02  9.2691e+04  7.3681e+04 
 7.2880e+00  1.0830e+02  1.2294e+05  9.7377e+04 
 7.2919e+00  1.0830e+02  1.5545e+05  1.2404e+05 
 7.2958e+00  1.0830e+02  1.8763e+05  1.5200e+05 
 7.2998e+00  1.0830e+02  2.1615e+05  1.7895e+05 
 7.3037e+00  1.0830e+02  2.3790e+05  2.0207e+05 
 7.3076e+00  1.0830e+02  2.5050e+05  2.1849e+05 
 7.3115e+00  1.0830e+02  2.5252e+05  2.2580e+05 
 7.3154e+00  1.0830e+02  2.4388e+05  2.2282e+05 
 7.3193e+00  1.0830e+02  2.2550e+05  2.1005e+05 
 7.3232e+00  1.0830e+02  1.9904e+05  1.8945e+05 
 7.3271e+00  1.0830e+02  1.6757e+05  1.6377e+05 
 7.3310e+00  1.0830e+02  1.3441e+05  1.3592e+05 
 7.3349e+00  1.0830e+02  1.0229e+05  1.0846e+05 
 7.3388e+00  1.0830e+02  7.3270e+04  8.3346e+04 
 7.3427e+00  1.0830e+02  4.8776e+04  6.1814e+04 
 7.3467e+00  1.0830e+02  2.9848e+04  4.4396e+04 
 7.3506e+00  1.0830e+02  1.7248e+04  3.1040e+04 
 7.3545e+00  1.0830e+02  9.9918e+03  2.1293e+04 
 7.3584e+00  1.0830e+02  6.5299e+03  1.4495e+04 
 7.3623e+00  1.0830e+02  6.4759e+03  9.9409e+03 
 7.3662e+00  1.0830e+02  8.4394e+03  6.9892e+03 
 7.3701e+00  1.0830e+02  1.0772e+04  5.1191e+03 
 7.3740e+00  1.0830e+02  1.2721e+04  3.9437e+03 
 7.3779e+00  1.0830e+02  1.3924e+04  3.1958e+03 
 7.3818e+00  1.0830e+02  1.4188e+04  2.7026e+03 
  
 7.2372e+00  1.0835e+02  3.8130e+04  3.9476e+03 
 7.2411e+00  1.0835e+02  3.7019e+04  4.4772e+03 
 7.2450e+00  1.0835e+02  3.4994e+04  5.2163e+03 
 7.2489e+00  1.0835e+02  3.2776e+04  6.3130e+03 
 7.2528e+00  1.0835e+02  3.1175e+04  8.0155e+03 
 7.2568e+00  1.0835e+02  3.0937e+04  1.0717e+04 
 7.2607e+00  1.0835e+02  3.3048e+04  1.5005e+04 
 7.2646e+00  1.0835e+02  3.8620e+04  2.1696e+04 
 7.2685e+00  1.0835e+02  4.8810e+04  3.1835e+04 
 7.2724e+00  1.0835e+02  6.4623e+04  4.6635e+04 
 7.2763e+00  1.0835e+02  8.6844e+04  6.7321e+04 
 7.2802e+00  1.0835e+02  1.1734e+05  9.4888e+04 
 7.2841e+00  1.0835e+02  1.5694e+05  1.2977e+05 
 7.2880e+00  1.0835e+02  2.0388e+05  1.7151e+05 
 7.2919e+00  1.0835e+02  2.5492e+05  2.1846e+05 
 7.2958e+00  1.0835e+02  3.0557e+05  2.6772e+05 
 7.2998e+00  1.0835e+02  3.5067e+05  3.1517e+05 
 7.3037e+00  1.0835e+02  3.8535e+05  3.5590e+05 
 7.3076e+00  1.0835e+02  4.0571e+05  3.8481e+05 
 7.3115e+00  1.0835e+02  4.0926e+05  3.9769e+05 
 7.3154e+00  1.0835e+02  3.9536e+05  3.9245e+05 
 7.3193e+00  1.0835e+02  3.6561e+05  3.6996e+05 
 7.3232e+00  1.0835e+02  3.2337e+05  3.3366e+05 
 7.3271e+00  1.0835e+02  2.7319e+05  2.8844e+05 
 7.3310e+00  1.0835e+02  2.2032e+05  2.3940e+05 
 7.3349e+00  1.0835e+02  1.6947e+05  1.9103e+05 
 7.3388e+00  1.0835e+02  1.2402e+05  1.4679e+05 
 7.3427e+00  1.0835e+02  8.5832e+04  1.0887e+05 
 7.3467e+00  1.0835e+02  5.5595e+04  7.8192e+04 
 7.3506e+00  1.0835e+02  3.3823e+04  5.4669e+04 
 7.3545e+00  1.0835e+02  2.0480e+04  3.7502e+04 
 7.3584e+00  1.0835e+02  1.3703e+04  2.5530e+04 
 7.3623e+00  1.0835e+02  1.0826e+04  1.7508e+04 
 7.3662e+00  1.0835e+02  1.0254e+04  1.2310e+04 
 7.3701e+00  1.0835e+02  1.1103e+04  9.0161e+03 
 7.3740e+00  1.0835e+02  1.2537e+04  6.9459e+03 
 7.3779e+00  1.0835e+02  1.3858e+04  5.6285e+03 
 7.3818e+00  1.0835e+02  1.4561e+04  4.7599e+03 
 7.3857e+00  1.0835e+02  1.4383e+04  4.1543e+03 
  
 7.2333e+00  1.0840e+02  4.9291e+04  6.3532e+03 
 7.2372e+00  1.0840e+02  5.0552e+04  7.0795e+03 
 7.2411e+00  1.0840e+02  5.1112e+04  8.0294e+03 
 7.2450e+00  1.0840e+02  5.0929e+04  9.3548e+03 
 7.2489e+00  1.0840e+02  5.0462e+04  1.1322e+04 
 7.2528e+00  1.0840e+02  5.0679e+04  1.4375e+04 
 7.2568e+00  1.0840e+02  5.2675e+04  1.9220e+04 
 7.2607e+00  1.0840e+02  5.8004e+04  2.6910e+04 
 7.2646e+00  1.0840e+02  6.8717e+04  3.8909e+04 
 7.2685e+00  1.0840e+02  8.7010e+04  5.7093e+04 
 7.2724e+00  1.0840e+02  1.1482e+05  8.3634e+04 
 7.2763e+00  1.0840e+02  1.5357e+05  1.2073e+05 
 7.2802e+00  1.0840e+02  2.0517e+05  1.7017e+05 
 7.2841e+00  1.0840e+02  2.7107e+05  2.3273e+05 
 7.2880e+00  1.0840e+02  3.4916e+05  3.0758e+05 
 7.2919e+00  1.0840e+02  4.3424e+05  3.9178e+05 
 7.2958e+00  1.0840e+02  5.1931e+05  4.8012e+05 
 7.2998e+00  1.0840e+02  5.9642e+05  5.6523e+05 
 7.3037e+00  1.0840e+02  6.5738e+05  6.3827e+05 
 7.3076e+00  1.0840e+02  6.9501e+05  6.9012e+05 
 7.3115e+00  1.0840e+02  7.0447e+05  7.1321e+05 
 7.3154e+00  1.0840e+02  6.8399e+05  7.0381e+05 
 7.3193e+00  1.0840e+02  6.3594e+05  6.6347e+05 
 7.3232e+00  1.0840e+02  5.6635e+05  5.9839e+05 
 7.3271e+00  1.0840e+02  4.8268e+05  5.1729e+05 
 7.3310e+00  1.0840e+02  3.9349e+05  4.2933e+05 
 7.3349e+00  1.0840e+02  3.0713e+05  3.4259e+05 
 7.3388e+00  1.0840e+02  2.2997e+05  2.6326e+05 
 7.3427e+00  1.0840e+02  1.6567e+05  1.9524e+05 
 7.3467e+00  1.0840e+02  1.1505e+05  1.4023e+05 
 7.3506e+00  1.0840e+02  7.7174e+04  9.8042e+04 
 7.3545e+00  1.0840e+02  5.1587e+04  6.7256e+04 
 7.3584e+00  1.0840e+02  3.5875e+04  4.5784e+04 
 7.3623e+00  1.0840e+02  2.5646e+04  3.1399e+04 
 7.3662e+00  1.0840e+02  1.9354e+04  2.2076e+04 
 7.3701e+00  1.0840e+02  1.6481e+04  1.6169e+04 
 7.3740e+00  1.0840e+02  1.5863e+04  1.2457e+04 
 7.3779e+00  1.0840e+02  1.6368e+04  1.0094e+04 
 7.3818e+00  1.0840e+02  1.7082e+04  8.5364e+03 
 7.3857e+00  1.0840e+02  1.7339e+04  7.4503e+03 
 7.3897e+00  1.0840e+02  1.6747e+04  6.6421e+03 
  
 7.2294e+00  1.0845e+02  5.1219e+04  9.6175e+03 
 7.2333e+00  1.0845e+02  5.2396e+04  1.0597e+04 
 7.2372e+00  1.0845e+02  5.3665e+04  1.1808e+04 
 7.2411e+00  1.0845e+02  5.5205e+04  1.3392e+04 
 7.2450e+00  1.0845e+02  5.7047e+04  1.5603e+04 
 7.2489e+00  1.0845e+02  5.9163e+04  1.8884e+04 
